EPW,County,Region,IECC Climate Zone,County Population,Regional Population Weight,GEA Region
MD_BALTIMORE-BLT-WASHNGTN-IAP_724060_TY3A,"Baltimore County, Maryland",Southeast,4,"827,370",0.055387055,PJM_East
MD_BALTIMORE-BLT-WASHNGTN-IAP_724060_TY3A,"Baltimore County, Maryland",Southeast,4,"827,370",0.055387055,PJM_East
MS_GULFPORT-BILOXI-IAP_747685_TY3A,"Harrison County, Mississippi",Southeast,2,"208,080",0.013929606,MISO_South
MS_JACKSON-IAP_722350_TY3A,"Hinds County, Mississippi",Southeast,3,"231,840",0.015520184,MISO_South
NC_CHARLOTTE-DOUGLAS-IAP_723140_TY3A,"Mecklenburg County, North Carolina",Southeast,3,"1,110,356",0.074331132,SERTP
NC_RALEIGH-DURHAM-IAP_723060_TY3A,"Wake County, North Carolina",Southeast,4,"1,111,761",0.074425188,SERTP
SC_CHARLESTON-IAP_722080_TY3A,"Charleston County, South Carolina",Southeast,3,"411,406",0.027540963,SERTP
TN_MEMPHIS-IAP_723340_TY3A,"Shelby County, Tennessee",Southeast,3,"937,166",0.062737185,SERTP
TN_NASHVILLE-IAP_723270_TY3A,"Davidson County, Tennessee",Southeast,4,"694,144",0.046468438,SERTP
VA_NORFOLK-IAP_723080_TY3A,"Virginia Beach city, Virginia",Southeast,4,"449,974",0.030122841,PJM_East
WV_CHARLESTON-YEAGER-AP_724140_TY3A,"Kanawha County, West Virginia",Southeast,4,"178,124",0.011924246,PJM_East
WV_MORGANTOWN-HART-FIELD_724176_TY3A,"Monongalia County, West Virginia",Southeast,5,"105,612",0.007070038,PJM_East
AZ_FLAGSTAFF-PULLIAM-AP_723755_TY3A,"Coconino County, Arizona",Southwest,5,"143,476",0.009840139,WestConnect_South
AZ_KINGMAN_AMOS_723700_TY3A,"Mohave County, Arizona",Southwest,3,"212,181",0.014552194,WestConnect_South
AZ_PHOENIX-SKY-HARBOR-IAP_722780_TY3A,"Maricopa County, Arizona",Southwest,2,"4,485,414",0.307627048,WestConnect_South
AZ_PRESCOTT-LOVE-FIELD_723723_TY3A,"Yavapai County, Arizona",Southwest,4,"235,099",0.016123999,WestConnect_South
NM_ALBUQUERQUE-IAP_723650_TY3A,"Bernalillo County, New Mexico",Southwest,4,"679,121",0.046576746,WestConnect_South
NM_LAS-CRUCES-IAP_722695_TY3A,"Doña Ana County, New Mexico",Southwest,3,"218,195",0.014964657,WestConnect_South
NM_SANTA-FE-CO-MUNI-AP_723656_TY3A,"Santa Fe County, New Mexico",Southwest,5,"150,358",0.010312133,WestConnect_South
OK_OKLAHOMA-CITY-WILEY_723544_TY3A,"Oklahoma County, Oklahoma",Southwest,3,"797,434",0.054691109,SPP_South
TX_DALLAS-FORT-WORTH-IAP_722590_TY3A,"Dallas County, Texas",Southwest,3,"2,635,516",0.180753885,ERCOT
TX_HOUSTON-ELLINGTON-AFB_722436_TY3A,"Harris County, Texas",Southwest,2,"4,713,325",0.323258066,ERCOT
TX_LUBBOCK-IAP_722670_TY3A,"Lubbock County, Texas",Southwest,4,"310,569",0.021300024,SPP_South
